ID,Name,Gender,Height,Weight,URL
49691,Sloane Stephens,Female,170,61,https://healthyceleb.com/sloane-stephens-height-weight-body-statistics/49691
15984,Nick Bollettieri Tennis Academy,Female,188,68,https://healthyceleb.com/maria-sharapova-height-weight-body-statistics/15984
18699,Glenwood Senior High School,Female,168,53,https://healthyceleb.com/gracie-gold-height-weight-body-statistics/18699
16466,NASR School ,Female,173,62,https://healthyceleb.com/sania-mirza-height-weight-body-statistics/16466
49700,Sports Jeopardy! ,Female,178,66,https://healthyceleb.com/madison-keys-height-weight-body-statistics/49700
60794,Otto – Der Außerfriesische ,Female,176,64,https://healthyceleb.com/steffi-graf-height-weight-body-statistics/60794
50586,Melanie Molitor,Female,175,63,https://healthyceleb.com/belinda-bencic-height-weight-body-statistics/50586
61080,Ottawa Township High School,Female,170,55,https://healthyceleb.com/maria-kanellis-height-weight-body-statistics/61080
83328,Burke Mountain Academy,Female,170,64,https://healthyceleb.com/mikaela-shiffrin-height-weight-age-body-statistics/83328
83496,Laurel Springs High School,Female,170,67,https://healthyceleb.com/madison-hubbell-height-weight-age-body-statistics/83496
89317,Bea Priestley,Female,173,62,https://healthyceleb.com/bea-priestley-height-weight-age-body-statistics/89317
89611,Julie Ertz,Female,170,61,https://healthyceleb.com/julie-ertz-height-weight-age-body-statistics/89611
89636,Zelina Vega,Female,155,48,https://healthyceleb.com/zelina-vega-height-weight-age-body-statistics/89636
99390,Naomi Broady ,Female,188,70,https://healthyceleb.com/naomi-broady-height-weight-age-body-statistics/99390
84613,Stillwater High School,Female,162.5,58,https://healthyceleb.com/jessie-diggins-height-weight-age-body-statistics/84613
98794,Stephanie Rice,Female,176,67,https://healthyceleb.com/stephanie-rice-swimmer-height-weight-age-body-statistics/98794
99345,Katie Boulter ,Female,180,68,https://healthyceleb.com/katie-boulter-height-weight-age-body-statistics/99345
107073,Katlyn Chookagian,Female,175,61,https://healthyceleb.com/katlyn-chookagian-height-weight-age-body-statistics/107073
108182,Alison Fernandez,Female,147.5,40,https://healthyceleb.com/alison-fernandez-height-weight-age-body-statistics/108182
107934,Ketlen Vieira,Female,173,61,https://healthyceleb.com/ketlen-vieira-height-weight-age-body-statistics/107934
107074,Sijara Eubanks,Female,160,61,https://healthyceleb.com/sijara-eubanks-height-weight-age-body-statistics/107074
